Gaia,Prot,BP-RP,E_BP-RP_,RUWE
661438260802777600,3.96,0.703,0.0071000000461936,1.296
661211147230556160,14.59,1.754,0.23319999873638153,1.039
665178391340402816,6.6,3.251,0.4867999851703644,0.998
664327433763175424,3.29,0.645,0.1525000035762787,0.775
664328915529295232,1.18,0.588,0.012299999594688416,0.781
661243307945543936,1.78,0.621,0.0003000000142492354,1.086
664324684984105728,8.44,0.762,0.00039999998989515007,1.037
664282667321547008,3.62,0.702,0.0013000000035390258,7.556
661319547906688896,9.13,1.038,0.01850000023841858,0.986
661247671632285312,3.59,0.616,0.005200000014156103,1.036
661043746583366272,4.74,0.804,,3.563
664464808293984000,1.06,0.579,0.023099999874830246,0.913
661321304551503616,1.37,2.851,,1.064
664320497393421952,17.68,2.177,0.24230000376701355,1.037
664387808120781440,7.8,0.866,0.01850000023841858,0.83
661319620924311296,25.92,2.465,0.30570000410079956,1.07
664425054076741120,24.24,2.401,0.2418999969959259,1.039
661329958907430272,0.48,0.588,0.0003000000142492354,1.814
661221760091324544,4.9,0.674,0.0005000000237487257,0.938
664442233945917440,19.02,2.241,,1.184
661313363154337280,17.18,2.862,0.36469998955726624,1.004
661298833282624000,21.32,2.205,,0.948
664339910645611776,19.27,2.208,0.3091999888420105,0.993
661424143247274624,21.63,2.857,0.36320000886917114,0.978
661251210685333120,18.11,2.146,0.2522999942302704,1.011
661235989321322240,0.41,0.599,0.0006000000284984708,0.859
664316546023530368,1.7,2.951,0.4097999930381775,1.041
664343896375336320,0.74,2.694,0.34779998660087585,1.037
659756493345357056,3.06,0.644,0.032499998807907104,1.938
661314570042801280,16.07,1.947,0.2913999855518341,1.001
664309296118640128,1.79,2.668,0.3571999967098236,0.991
661281206736808064,20.88,2.88,0.3151000142097473,1.086
661238635021126656,16.51,2.126,0.2533000111579895,1.029
664463502623929088,7.4,2.845,,1.053
664292322407994624,17.27,2.29,0.2354000061750412,3.039
664437286143573760,9.63,1.089,0.0414000004529953,0.891
661215751435494144,17.27,2.752,0.37529999017715454,1.05
664353757620108544,9.85,2.298,0.08869999647140503,1.029
664429005446645376,15.65,1.894,0.2515999972820282,0.96
661278767195471360,4.54,2.78,0.3734000027179718,1.039
659777074828577024,16.42,2.345,0.27619999647140503,1.025
661418405170762368,20.59,2.645,0.3215999901294708,1.118
661277908202012672,1.33,2.769,0.36320000886917114,1.078
664325616994522880,9.0,2.626,0.3312000036239624,0.974
661282100090072576,1.96,2.73,,10.822
661260144217277568,0.36,2.661,,12.544
664444914005442304,13.98,1.69,0.23800000548362732,1.056
661257704675956480,17.27,2.385,0.27250000834465027,0.987
662796814795084160,13.12,2.726,0.35850000381469727,0.951
664353860699329920,9.54,2.636,0.3359000086784363,1.165
661404317678099456,19.65,2.716,0.3970000147819519,1.215
662784101691882624,21.94,2.407,0.27649998664855957,3.291
664444639127529728,4.73,2.774,0.3894999921321869,1.061
661190015991474688,0.19,0.819,0.002899999963119626,0.889
664436770747502208,18.79,2.31,0.2761000096797943,4.41
664600804138934400,8.89,0.969,0.010700000450015068,1.062
664301427738676992,1.63,2.845,0.39089998602867126,1.018
662776439470251136,1.87,2.731,0.3723999857902527,1.038
664401964332947584,21.63,2.352,0.25040000677108765,1.013
661239390935361024,25.48,2.739,0.3208000063896179,0.978
664323761568567808,14.31,1.701,0.1979999989271164,0.986
661351850357695616,13.07,1.467,0.12409999966621399,1.594
661779796602531712,0.95,0.605,0.00860000029206276,1.06
661209566682500736,15.9,1.996,,1.023
661043506065199488,8.19,2.807,0.41999998688697815,0.966
664431204469943808,21.78,2.375,0.30469998717308044,1.013
664409175581692288,11.01,1.204,0.04470000043511391,1.007
661459774295767936,0.74,2.737,0.36890000104904175,1.02
664502084313453568,10.54,1.215,0.05990000069141388,14.596
664337535526407680,0.24,3.219,0.47049999237060547,1.056
659685231248166784,16.16,2.807,0.3856000006198883,1.011
661005538554352000,29.77,2.459,0.2985000014305115,1.434
664310601788795392,0.54,3.006,,1.05
660954067666386944,2.29,0.581,0.30399999022483826,1.014
661348517463001216,15.33,2.612,0.32100000977516174,0.963
659744914113633408,5.91,2.84,,1.826
661402015575639680,1.02,2.559,,1.608
661136964553408896,1.32,3.065,0.45100000500679016,1.034
664439416447387392,12.63,2.987,0.4514000117778778,0.977
664344274332354304,0.97,2.702,0.3443000018596649,1.048
664380695654828160,8.35,2.795,0.3181999921798706,1.045
661029384212747392,9.89,1.036,0.03709999844431877,1.495
661263305313199360,14.45,1.755,0.11670000106096268,0.988
662780047242756608,13.12,1.749,0.2134999930858612,6.269
661257154920147072,18.11,2.203,0.2337999939918518,0.984
661018835773136512,19.39,2.205,0.26919999718666077,0.997
664286721770683136,1.9,2.815,,1.053
661263408392412928,22.6,2.547,0.2802000045776367,0.965
661356488922418944,24.44,2.648,0.328900009393692,0.98
664477968073854720,1.52,2.856,,1.005
664610562304515712,16.89,2.819,0.3644999861717224,0.944
659742367196651392,10.36,2.329,0.24879999458789825,1.012
661189706753828608,1.97,2.735,,1.277
664478620908806784,12.42,1.392,0.20499999821186066,2.179
664438248216250880,7.36,2.617,0.3190999925136566,1.096
664510949126187136,16.7,2.89,0.3862999975681305,0.929
659765598675979904,8.26,2.64,0.3188999891281128,1.156
659750892708009088,14.66,1.831,0.18400000035762787,1.056
661283057865715456,0.61,3.052,0.34150001406669617,0.893
664506143059189888,19.91,2.291,0.2791000008583069,1.03
661198915163689472,1.18,2.828,0.41359999775886536,4.45
661310756111835392,11.6,1.316,0.05169999971985817,0.934
661117134688210560,26.61,2.917,0.414900004863739,0.971
661430705957076096,0.33,3.037,0.438400000333786,0.954
662744210035689728,5.67,2.675,0.3481000065803528,0.994
661350750845994240,21.94,2.308,0.2685999870300293,0.974
661231625634645504,16.33,1.978,0.21449999511241913,1.107
664286446892777472,11.83,2.538,0.3181000053882599,1.055
661429675164926464,20.73,2.365,0.2687000036239624,1.031
661190290869387776,15.26,2.66,0.3546999990940094,1.039
664459031561436544,0.86,3.065,0.459199994802475,1.058
661024024093555840,21.94,2.734,0.3783999979496002,1.007
661383770554619136,7.4,2.907,0.3781999945640564,1.042
660966849487603840,16.51,2.822,0.4165000021457672,0.94
659750514750888192,13.12,1.555,0.14800000190734863,4.558
664458791043242368,0.52,3.207,,0.963
664281911407300480,29.19,2.729,0.3635999858379364,1.053
661460083533415040,16.51,1.922,0.05130000039935112,1.014
660966402812388480,18.0,2.74,,
661137789187132288,3.25,2.956,1.121500015258789,1.013
661441494914973184,18.79,2.108,0.23989999294281006,1.015
661246675199973504,13.48,1.434,0.16249999403953552,1.019
664388357876585344,15.57,2.178,,1.922
661422837576998784,9.6,1.028,0.04270000010728836,1.266
661391982532062848,2.09,2.923,,1.015
661279042073291776,15.41,2.148,0.25060001015663147,1.03
661768771422658816,14.38,1.819,,1.006
659696982278606080,4.69,2.597,0.3440000116825104,1.047
661219840244243200,11.97,1.611,0.3402999937534332,3.809
664402170491377920,21.47,2.376,0.26669999957084656,0.984
664586476127906560,2.14,2.857,,0.988
664367020479085568,2.23,2.892,,1.03
659722752082318976,12.84,1.588,0.29499998688697815,1.266
659744295638254336,23.86,2.54,0.3138999938964844,0.988
661463446491712384,0.52,3.065,,0.978
661386244455690752,3.65,0.664,0.00019999999494757503,1.652
661222279785744512,10.77,1.498,0.05460000038146973,3.591
664406087501474048,16.98,2.875,,0.944
659713818550364160,1.7,2.97,0.527999997138977,1.126
659671624791715840,1.12,2.822,,0.998
664404713111939072,2.13,2.366,,4.143
661355934869899648,34.17,2.828,0.2644999921321869,1.216
662823993347982208,2.31,3.067,0.41620001196861267,1.112
662799009521584640,1.18,2.849,0.3790999948978424,0.99
664352692468240896,0.9,2.81,,0.967
661383731898310016,0.99,3.133,0.4887999892234802,1.036
660966883848803072,4.67,2.682,0.3571000099182129,0.977
661011929465731456,8.21,2.674,,
664396294976119680,3.16,3.057,,0.998
664495457180572288,3.68,2.608,0.30379998683929443,1.042
661401431460014976,13.42,1.454,0.11150000244379044,1.049
663050527103803136,1.49,2.98,0.4794999957084656,1.096
661028284701128576,1.21,3.081,0.4645000100135803,0.942
664437320503310336,14.81,1.896,0.3154999911785126,1.142
664451609857973376,0.79,3.093,0.44749999046325684,1.036
659684264879024128,1.62,2.76,0.3303999900817871,0.979
664456626379853696,0.6,2.962,,0.934
664423297433229312,0.83,3.213,0.48899999260902405,1.061
659774291689774848,11.6,2.507,0.3093000054359436,1.373
661775265413200640,17.79,2.401,0.2743000090122223,0.989
660996330144479616,2.9,2.814,0.15299999713897705,0.981
662774957704594688,0.6,2.905,0.3208000063896179,1.028
664437561021480192,0.23,3.026,0.33809998631477356,0.975
661216885306765824,1.34,2.888,0.4634000062942505,0.985
661365697332234112,13.3,2.99,,1.192
662776576909207168,1.6,2.852,,0.995
661459774295768960,19.27,2.268,0.26159998774528503,1.013
661017216569202432,6.25,2.902,0.44670000672340393,1.012
661244647975316736,28.91,2.507,0.3118000030517578,1.041
661195784129129984,5.37,3.047,,
664403506224429184,1.09,3.174,0.4009999930858612,1.058
664508616960346752,0.42,3.05,0.3781999945640564,1.028
664352245791631488,18.55,2.022,0.06870000064373016,0.936
661235985023722496,2.07,2.978,,0.97
664605270904832768,17.27,2.064,0.3546999990940094,1.038
659772195745778688,0.95,2.492,0.31540000438690186,0.904
661342710667273856,13.6,1.643,0.19099999964237213,1.085
664354994570694400,1.02,3.071,0.5152000188827515,1.125
661173901272129152,1.74,2.992,,
661001243587055616,1.09,2.713,0.328000009059906,1.009
661170637096984960,0.91,2.576,0.3294999897480011,1.768
661220974115692416,0.36,2.901,0.415800005197525,0.985
659488349947010176,1.59,2.891,,1.045
664516000007445632,1.63,3.221,0.38440001010894775,1.034
661194310958749696,21.32,2.47,0.30820000171661377,1.191
661391535855469312,1.38,3.007,0.5879999995231628,2.912
659668841652926592,13.98,2.935,0.3517000079154968,0.971
660996295784743680,2.1,2.817,,1.017
661186202060520704,0.42,2.823,,1.007
660992344414836992,1.4,3.013,0.46639999747276306,1.031
661034155919816960,13.48,1.466,0.10939999669790268,0.986
659698219229186688,23.67,2.716,0.3693000078201294,1.062
661204167906246784,1.56,3.11,,0.957
661195788427497472,0.86,3.03,0.4627000093460083,1.025
664379974100333568,10.15,2.462,0.2971000075340271,1.066
662828833775087488,24.44,2.819,0.2736999988555908,1.149
664340696622352512,0.45,3.003,,1.024
664407427531262464,15.26,1.859,0.2475000023841858,0.994
662775266942252544,2.58,2.985,,1.128
661222073627319296,16.7,2.017,0.2653999924659729,1.049
661421939927520384,0.94,2.97,0.4104999899864197,1.055
661061751085381248,1.33,2.993,,
661194345316420736,7.8,0.834,,
661458979725746304,0.85,2.809,,1.068
660933310088402688,0.4,3.046,0.43700000643730164,1.032
661277186647511936,17.48,1.177,0.09399999678134918,1.145
661066664527946112,1.8,2.932,,0.944
661353770206306560,0.98,3.134,0.4708999991416931,1.047
660981349298550272,8.61,2.575,0.37070000171661377,1.048
661078896595610240,21.47,2.503,0.2879999876022339,1.056
662635083506980992,1.67,2.86,0.3650999963283539,1.076
659714024708794240,14.66,1.866,0.243599995970726,1.056
664505898245002496,0.51,3.005,0.010400000028312206,0.958
664608638159278080,11.3,2.427,0.27160000801086426,1.024
661068932271565696,1.03,3.104,,1.012
659380666527013248,0.56,2.868,0.3237999975681305,0.985
661775845232285312,0.59,2.689,0.3206000030040741,1.004
661004713920630656,3.13,2.903,,0.969
664446666352164224,0.9,2.669,0.3447999954223633,1.003
659719419187699712,2.06,3.021,,1.047
663063068408290944,14.59,2.582,0.3156999945640564,1.023
